geoitem;geolevel;period;d_41a
cr37;corop_code;2021;59
cr37;corop_code;2022;51,8
cr37;corop_code;2023;55,9
cr37;corop_code;2024;72,4
cr38;corop_code;2021;59,6
cr38;corop_code;2022;58,8
cr38;corop_code;2023;51,2
cr38;corop_code;2024;60,9
cr39;corop_code;2021;74,6
cr39;corop_code;2022;77,4
cr39;corop_code;2023;69,7
cr39;corop_code;2024;92,2
